REF_DATE,GEO,DGUID,Age (13B),Knowledge of official languages (5),Coordinate,Statistics (6A):2021 Counts[1],Symbol,Statistics (6A):% distribution (2021)[2],Symbol,Statistics (6A):% change (2016 to 2021)[3],Symbol,Statistics (6A):% change (2011 to 2021)[4],Symbol,Statistics (6A):2016 Counts[5],Symbol,Statistics (6A):2011 Counts[6],Symbol
2021,Prince Edward Island,2021A000211,65 to 74 years,Neither English nor French,3.12.5,45,,0.2,,50.0,,200.0,,30,,15,
2021,Prince Edward Island,2021A000211,75 years and over,Total - Knowledge of official languages,3.13.1,11720,,100.0,,18.1,,29.7,,9920,,9035,
2021,Prince Edward Island,2021A000211,75 years and over,English only,3.13.2,10790,,92.1,,18.7,,30.3,,9090,,8280,
2021,Prince Edward Island,2021A000211,75 years and over,French only,3.13.3,10,,0.1,,0.0,,0.0,,10,,10,
2021,Prince Edward Island,2021A000211,75 years and over,English and French,3.13.4,890,,7.6,,11.3,,21.1,,800,,735,
2021,Prince Edward Island,2021A000211,75 years and over,Neither English nor French,3.13.5,30,,0.3,,50.0,,200.0,,20,,10,
2021,Nova Scotia,2021A000212,Total - Age,Total - Knowledge of official languages,4.1.1,958990,,100.0,,5.1,,5.3,,912300,,910620,
2021,Nova Scotia,2021A000212,Total - Age,English only,4.1.2,856205,,89.3,,5.3,,5.1,,813480,,814675,
2021,Nova Scotia,2021A000212,Total - Age,French only,4.1.3,600,,0.1,,-14.9,,-31.4,,705,,875,
2021,Nova Scotia,2021A000212,Total - Age,English and French,4.1.4,98940,,10.3,,3.7,,5.9,,95380,,93435,
